sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
105,2,Hacker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A person who accesses systems and information without authorization and often illegally.,,,,,,,,,,,,,,,,,,,
106,2,Hacktivist,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A hacker who seeks to interfere with or disrupt systems to protest the operations, policies, or actions of an organization or government agency.",,,,,,,,,,,,,,,,,,,
107,2,Information,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Data that has been organized, structured, and presented to provide additional insight into its context, worth, and usefulness.",,,,,,,,,,,,,,,,,,,
108,2,Information Asset,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The focus of information security; information that has value to the organization, and the systems that store, process, and transmit the information.",,,,,,,,,,,,,,,,,,,
109,2,Information Extortion,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The act of an attacker or trusted insider who steals information from a computer system and demands compensation for its return or for an agreement not to disclose the information. Also known as cyberextortion.,,,,,,,,,,,,,,,,,,,
110,2,Industrial Espionage,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The collection and analysis of information about an organization’s business competitors, often through illegal or unethical means, to gain an unfair competitive advantage.",,,,,,,,,,,,,,,,,,,
111,2,Integer Bug,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A class of computational error caused by methods that computers use to store and manipulate integer numbers; this bug can be exploited by attackers.,,,,,,,,,,,,,,,,,,,
112,2,Intellectual Property(IP),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The creation, ownership, and control of original ideas as well as the representation of those ideas.",,,,,,,,,,,,,,,,,,,
113,2,Jailbreaking,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Escalating privileges to gain administrator-level control over a smartphone operating system (typically associated with Apple iOS smartphones). See also Rooting.,,,,,,,,,,,,,,,,,,,
114,2,Macro Virus,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A type of virus written in a specific macro language to target applications that use the language.,,,,,,,,,,,,,,,,,,,
115,2,Mail Bomb,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attack designed to overwhelm the receiver with excessive quantities of email.,,,,,,,,,,,,,,,,,,,
116,2,Maintenance Hook,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Back door,,,,,,,,,,,,,,,,,,,
117,2,Malicious Code,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Malware.,,,,,,,,,,,,,,,,,,,
118,2,Malicious Software,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Malware.,,,,,,,,,,,,,,,,,,,
119,2,Malware,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Computer software specifically designed to perform malicious or unwanted actions.,,,,,,,,,,,,,,,,,,,
120,2,Man-in-the-Middle,"""Man-in-the-Middle Attack""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A group of attacks whereby a person intercepts a communications stream and inserts himself in the conversation to convince each of the legitimate parties that he is the other communications partner.,,,,,,,,,,,,,,,,,,,
121,2,Media,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","As a subset of information assets, the systems and network that store, process, and transmit information.",,,,,,,,,,,,,,,,,,,
122,2,Mean Time Between Failure (MTBF),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The average amount of time between hardware failures, calculated as the total amount of operation time for a specified number of units divided by the total number of failures.",,,,,,,,,,,,,,,,,,,
123,2,Mean Time to Diagnose (MTTD),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The average amount of time a computer technician needs to determine the cause of a failure.,,,,,,,,,,,,,,,,,,,
124,2,Mean Time to Failure (MTTF),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The average amount of time until the next hardware failure.,,,,,,,,,,,,,,,,,,,
125,2,Mean Time to Repair (MTTR),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The average amount of time a computer technician needs to resolve the cause of a failure through replacement or repair of a faulty unit.,,,,,,,,,,,,,,,,,,,
126,2,Memory-Resident Virus,"""TSR""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A virus that is capable of installing itself in a computer’s operating system, starting when the computer is activated, and residing in the system’s memory even after the host application is terminated.",,,,,,,,,,,,,,,,,,,
127,2,Noise,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The presence of additional and disruptive signals in network communications or electrical power delivery.,,,,,,,,,,,,,,,,,,,
128,2,Non-Memory-Resident Virus,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A virus that terminates after it has been activated, infected its host system, and replicated itself.",,,,,,,,,,,,,,,,,,,
129,2,Novice Hacker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A relatively unskilled hacker who uses the work of expert hackers to perform attacks.,,,,,,,,,,,,,,,,,,,
130,2,Packet Monkey,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A script kiddie who uses automated exploits to engage in denial-of-service attacks.,,,,,,,,,,,,,,,,,,,
131,2,Packet Sniffer,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A software program or hardware appliance that can intercept, copy, and interpret network traffic.",,,,,,,,,,,,,,,,,,,
132,2,Penetration Tester,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An information security professional with authorization to attempt to gain system access in an effort to identify and recommend resolutions for vulnerabilities in those systems.,,,,,,,,,,,,,,,,,,,
133,2,Pharming,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The redirection of legitimate Web to illegitimate Web sites with the intent to collect personal information.,,,,,,,,,,,,,,,,,,,
134,2,Phishing,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A form of social engineering in which the attacker provides what appears to be a legitimate communication (usually e-mail), but it contains hidden or embedded code that redirects the reply to a third-party site in an effort to extract personal or confidential information.",,,,,,,,,,,,,,,,,,,
135,2,Phreaker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker who manipulates the public telephone system to make free calls or disrupt services.,,,,,,,,,,,,,,,,,,,
136,2,Polymorphic Threat,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Malware that over time changes the way it appears to antivirus programs, making it undetectable by techniques that look for preconfigured signatures.",,,,,,,,,,,,,,,,,,,
137,2,Pretexting,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A form of social engineering in which the attacker pretends to be an authority figure who needs information to confirm the target’s identity, but the real object is to trick the target into revealing confidential information.",,,,,,,,,,,,,,,,,,,
138,2,Privilege Escalation,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The unauthorized modification of an authorized or unauthorized system user account to gain advanced access and control over system resources.,,,,,,,,,,,,,,,,,,,
139,2,Professional Hacker,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker who conducts attacks for personal financial benefit or for a crime organization or foreign government.,,,,,,,,,,,,,,,,,,,
140,2,Rainbow Table,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A table of hash values and their corresponding plaintext values that can be used to look up password values if an attacker is able to steal a system’s encrypted password file.,,,,,,,,,,,,,,,,,,,
141,2,Ransomware,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Computer software specifically designed to identify and encrypt valuable information in a victim’s system in order to extort payment for the key needed to unlock the encryption.,,,,,,,,,,,,,,,,,,,
142,2,Rooting,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Escalating privileges to gain administrator-level control over a computer system (including smartphones).,,,,,,,,,,,,,,,,,,,
143,2,Sag,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A short-term decrease in electrical power availability.,,,,,,,,,,,,,,,,,,,
144,2,Script Kiddie,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hacker of limited skill who use expertly written software to attack a system.,,,,,,,,,,,,,,,,,,,
145,2,Service Level Agreement (SLA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A document or part of a document that specifies the expected level of service from a service provider.,,,,,,,,,,,,,,,,,,,
146,2,Session Hijacking,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See TCP hijacking.,,,,,,,,,,,,,,,,,,,
147,2,Shoulder Surfing,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The direct, covert observation of individual information or system use.",,,,,,,,,,,,,,,,,,,
148,2,Sniffer,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Packet sniffer.,,,,,,,,,,,,,,,,,,,
149,2,Social Engineering,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of using social skills to convince people to reveal access credentials or other valuable information to the attacker.,,,,,,,,,,,,,,,,,,,
150,2,Software Piracy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The unauthorized duplication, installation, or distribution of copyrighted computer software, which is a violation of intellectual property.",,,,,,,,,,,,,,,,,,,
151,2,Spam,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Undesired e-mail, typically commercial advertising transmitted in bulk.",,,,,,,,,,,,,,,,,,,
152,2,Spear Phishing,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A highly targeted phishing attack.,,,,,,,,,,,,,,,,,,,
153,2,Spike,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A short-term increase in electrical power availability, also known as a swell.",,,,,,,,,,,,,,,,,,,
154,2,Spoofing,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A technique for gaining unauthorized access to computers using a forged or modified source IP address to give the perception that messages are coming from a trusted host.,,,,,,,,,,,,,,,,,,,
155,2,Spyware,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Any technology that aids in gathering information about a person or organization without their knowledge.,,,,,,,,,,,,,,,,,,,
156,2,Surge,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A long-term increase in electrical power availability.,,,,,,,,,,,,,,,,,,,
157,2,TCP Hijacking,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A form of man-in-the-middle attack whereby the attacker inserts himself into TCP/IP-based communications.,,,,,,,,,,,,,,,,,,,
158,2,Theft,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The illegal taking of another’s property, which can be physical, electronic, or intellectual.",,,,,,,,,,,,,,,,,,,
159,2,Trap Door,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See Back door.,,,,,,,,,,,,,,,,,,,
160,2,Trespass,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Unauthorized entry into the real or virtual property of another party.,,,,,,,,,,,,,,,,,,,
161,2,Trojan Horses,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A malware program that hides its true nature and reveals its designed behavior only when activated.,,,,,,,,,,,,,,,,,,,
162,2,Uptime,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The percentage of time a particular service is available; the opposite of downtime.,,,,,,,,,,,,,,,,,,,
163,2,Virus,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A type of malware that is attached to other executable programs.,,,,,,,,,,,,,,,,,,,
164,2,Vulnerability,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A potential weakness in an asset or its defensive control system(s).,,,,,,,,,,,,,,,,,,,
165,2,Virus Hoax,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A message that reports the presence of a nonexistent virus or worm and wastes valuable time as employees share the message.,,,,,,,,,,,,,,,,,,,
166,2,Worm,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A type of malware that is capable of activation and replication without being attached to an existing program.,,,,,,,,,,,,,,,,,,,
167,2,Zero-Day Attack,"""Zero Day""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attack that makes use of malware that is not yet known by the anti-malware software companies.,,,,,,,,,,,,,,,,,,,
168,2,Zombie,"""Bot""",Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Another term for bot which is an abbreviation of robot; an automated software program that executes certain commands when it receives a specific input. See also Zombie.,,,,,,,,,,,,,,,,,,,
169,3,Aggregate Information,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Collective data that relates to a group or category of people and that has been altered to remove characteristics or components that make it possible to identify individuals within the group.,,,,,,,,,,,,,,,,,,,
170,3,Cultural Mores,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The fixed moral attitudes or customs of a particular group.,,,,,,,,,,,,,,,,,,,
171,3,Due Care,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Measures that an organization takes to ensure every employee knows what is acceptable and what is not.,,,,,,,,,,,,,,,,,,,
172,3,Due Diligence,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Reasonable steps taken by people or organizations to meet the obligations imposed by laws or regulations.,,,,,,,,,,,,,,,,,,,
173,3,Ethics,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The branchof philosophy that considers nature, criteria, sources, logic, and the validity of moral judgement",,,,,,,,,,,,,,,,,,,
174,3,Identity Theft,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The unauthorized taking of personally identifiable information with the intent of committing fraud and abuse of a person’s financial and personal reputation, purchasing goods and services without authorization, and generally impersonating the victim for illegal or unethical purposes.",,,,,,,,,,,,,,,,,,,
175,3,Information Aggregation,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Pieces of nonprivate data that, when combined, may create information that violates privacy.",,,,,,,,,,,,,,,,,,,
176,3,Information Assurance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The affirmation or guarantee of the confidentiality, integrity, and availability of information in storage, processing, and transmission.",,,,,,,,,,,,,,,,,,,
177,3,Jurisdiction,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The power to make legal decisions and judgements; typically n area within which an entity such as a court or law enforcement agency is empowered to make legal decision.,,,,,,,,,,,,,,,,,,,
178,3,Laws,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Rules that mandate or prohibit certain behavior and are enforced by the state.,,,,,,,,,,,,,,,,,,,
179,3,Liability,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An entitiy’s legal obligation or responsibility.,,,,,,,,,,,,,,,,,,,
180,3,Long Arm Jurisdiction,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The ability of a legal entity to exercise its influence beyond its normal boundaries by asserting a connection between an out-of-jurisdiction entity and a local legal case.,,,,,,,,,,,,,,,,,,,
181,3,Personally identifiable information (PII),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Information about a person’s history, background, and attributes that can be used to commit identity theft. This information typically includes a person’s name, address, Social Security number, family  information, employment history, and financial information.",,,,,,,,,,,,,,,,,,,
182,3,Policiy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Guidelines that dictate certain behavior within the organization.,,,,,,,,,,,,,,,,,,,
183,3,Privacy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In the context of information security, the right of individuals or groups to protect themselves and their information from unauthorized access, providing confidentiality.",,,,,,,,,,,,,,,,,,,
184,3,Restitution,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A legal requirement to make compensation or payment resulting from a loss or injury.,,,,,,,,,,,,,,,,,,,
185,3,Signals Intelligence,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The collection, analysis, and distribution of information from foreign communications networks for intelligence and counterintelligence purposes and in support of military operations.",,,,,,,,,,,,,,,,,,,
186,5,Acceptance Risk Control Strategy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The risk control strategy that indicates an organization is willing to accept the current level of residual risk.,,,,,,,,,,,,,,,,,,,
187,5,Annualized Cost of a safeguard (ACS),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In a cost-benefit analysis, the total cost of a control or safeguard, including all purchase, maintenance, subscription, personnel, and support fees, divided by the total number of expected years of use.",,,,,,,,,,,,,,,,,,,
188,5,Annualized Loss Expectancy (ALE),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In a cost-benefit analysis, the product of the annualized rate of occurrence and single loss expectancy.",,,,,,,,,,,,,,,,,,,
189,5,Annualized Rate of Occurrence (ARO),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In a cost-benefit analysis, the expected frequency of an attack, expressed on a per-year basis.",,,,,,,,,,,,,,,,,,,
190,5,Asset Exposure,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See loss magnitude.,,,,,,,,,,,,,,,,,,,
191,5,Asset valuation,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of assigning financial value or worth to each information asset.,,,,,,,,,,,,,,,,,,,
192,5,Attack Success Probability,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The number of successful attacks that are expected to occur within a specified time period.,,,,,,,,,,,,,,,,,,,
193,5,Avoidance of Competitive Advantage,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The adoption and implementation of a business model, method, technique, resource, or technology to prevent being outperformed by a competing organization; working to keep pace with the competition through innovation, rather than falling behind.",,,,,,,,,,,,,,,,,,,
194,5,Baseline,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An assessment of the performance of some action or process against which future performance is assessed; the first measurement (benchmark) in benchmarking.,,,,,,,,,,,,,,,,,,,
195,5,Baselining,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of conducting a baseline. See also baseline.,,,,,,,,,,,,,,,,,,,
196,5,Behavioral Feasibility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See operational feasibility.,,,,,,,,,,,,,,,,,,,
197,5,Benchmarking,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An attempt to improve information security practices by comparing an organization’s efforts against practices of a similar organization or an industry-developed standard to produce results it would like to duplicate. Sometimes referred to as external benchmarking.,,,,,,,,,,,,,,,,,,,
198,5,Best Business Practices,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Security efforts that are considered among the best in the industry.,,,,,,,,,,,,,,,,,,,
199,5,Clean Desk Policy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An organizational policy that specifies employees must inspect their work areas and ensure that all classified information, documents, and materials are secured at the end of every work day.",,,,,,,,,,,,,,,,,,,
200,5,Competitive Advantage,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The adoption and implementation of an innovative business model, method, technique, resource, or technology in order to outperform the competition.",,,,,,,,,,,,,,,,,,,
201,5,Cost Avoidance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The financial savings from using the defense risk control strategy to implement a control and eliminate the financial ramifications of an incident.,,,,,,,,,,,,,,,,,,,
202,5,Cost-benefit Analysis (CBA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Also known as an economic feasibility study, the formal assessment and presentation of the economic expenditures needed for a particular security control, contrasted with its projected value to the organization.",,,,,,,,,,,,,,,,,,,
